date	ba
20050630	0.032864
20050729	0.000152
20050831	0.019088
20050930	0.013876
20051031	-0.048712
20051130	0.058787
20051230	0.030063
20060131	-0.027477
20060228	0.068511
20060331	0.072087
20060428	0.070833
20060531	0.001198
20060630	-0.016096
20060731	-0.054816
20060831	-0.028675
20060929	0.052737
20061031	0.012809
20061130	0.112322
20061229	0.003502
20070131	0.008104
20070228	-0.021773
20070330	0.018909
20070430	0.046002
20070531	0.085376
20070629	-0.044040
20070731	0.075603
20070831	-0.061684
20070928	0.085729
20071031	-0.060958
20071130	-0.057815
20071231	-0.054895
20080131	-0.048937
20080229	0.000120
20080331	-0.101703
20080430	0.141051
20080530	-0.019915
20080630	-0.205992
20080731	-0.070146
20080829	0.079365
20080930	-0.125229
20081031	-0.085963
20081128	-0.179130
20081231	0.000938
20090130	-0.008437
20090227	-0.246987
20090331	0.131679
20090430	0.125632
20090529	0.130337
20090630	-0.052397
20090731	0.009647
20090831	0.167327
20090930	0.090195
20091030	-0.117267
20091130	0.105230
20091231	0.032818
20100129	0.119527
20100226	0.049175
20100331	0.149620
20100430	-0.002479
20100528	-0.108104
20100630	-0.022281
20100730	0.085896
20100831	-0.096713
20100930	0.088500
20101029	0.061617
20101130	-0.091308
20101231	0.023365
20110131	0.064664
20110228	0.042458
20110331	0.026663
20110429	0.079129
20110531	-0.016671
20110630	-0.052544
20110729	-0.046801
20110831	-0.045267
20110930	-0.094975
20111031	0.087258
20111130	0.050464
20111230	0.067841
20120131	0.011316
20120229	0.016312
20120330	-0.007738
20120430	0.032674
20120531	-0.087891
20120629	0.067375
20120731	-0.005249
20120831	-0.028007
20120928	-0.025280
20121031	0.012142
20121130	0.060761
20121231	0.014540
20130131	-0.019772
20130228	0.047584
20130328	0.116385
20130430	0.064764
20130531	0.088557
20130628	0.034539
20130731	0.025966
20130830	-0.006613
20130930	0.130677
20131031	0.110638
20131129	0.032452
20131231	0.016685
