Datum;Grupp;Serie;rate
2011-10-28;Valutor mot svenska kronor;1 GBP;10.2346
2011-10-31;Valutor mot svenska kronor;1 GBP;10.3212
2011-11-01;Valutor mot svenska kronor;1 GBP;10.5535
2011-11-02;Valutor mot svenska kronor;1 GBP;10.551
2011-11-03;Valutor mot svenska kronor;1 GBP;10.5839
2011-11-04;Valutor mot svenska kronor;1 GBP;10.5341
2011-11-07;Valutor mot svenska kronor;1 GBP;10.599
2011-11-08;Valutor mot svenska kronor;1 GBP;10.5673
2011-11-09;Valutor mot svenska kronor;1 GBP;10.5502
2011-11-10;Valutor mot svenska kronor;1 GBP;10.679
2011-11-11;Valutor mot svenska kronor;1 GBP;10.6075
2011-11-14;Valutor mot svenska kronor;1 GBP;10.601
2011-11-15;Valutor mot svenska kronor;1 GBP;10.6886
2011-11-16;Valutor mot svenska kronor;1 GBP;10.6851
2011-11-17;Valutor mot svenska kronor;1 GBP;10.6957
2011-11-18;Valutor mot svenska kronor;1 GBP;10.7182
2011-11-21;Valutor mot svenska kronor;1 GBP;10.696
2011-11-22;Valutor mot svenska kronor;1 GBP;10.6469
2011-11-23;Valutor mot svenska kronor;1 GBP;10.6816
2011-11-24;Valutor mot svenska kronor;1 GBP;10.7151
2011-11-25;Valutor mot svenska kronor;1 GBP;10.7828
2011-11-28;Valutor mot svenska kronor;1 GBP;10.7796
2011-11-29;Valutor mot svenska kronor;1 GBP;10.7733
2011-11-30;Valutor mot svenska kronor;1 GBP;10.7649
2011-12-01;Valutor mot svenska kronor;1 GBP;10.6376
2011-12-02;Valutor mot svenska kronor;1 GBP;10.6076
2011-12-05;Valutor mot svenska kronor;1 GBP;10.5361
2011-12-06;Valutor mot svenska kronor;1 GBP;10.5868
2011-12-07;Valutor mot svenska kronor;1 GBP;10.4942
2011-12-08;Valutor mot svenska kronor;1 GBP;10.5542
2011-12-09;Valutor mot svenska kronor;1 GBP;10.6287
2011-12-12;Valutor mot svenska kronor;1 GBP;10.5793
2011-12-13;Valutor mot svenska kronor;1 GBP;10.7076
2011-12-14;Valutor mot svenska kronor;1 GBP;10.8231
2011-12-15;Valutor mot svenska kronor;1 GBP;10.7961
2011-12-16;Valutor mot svenska kronor;1 GBP;10.7933
2011-12-19;Valutor mot svenska kronor;1 GBP;10.7129
2011-12-20;Valutor mot svenska kronor;1 GBP;10.757
2011-12-21;Valutor mot svenska kronor;1 GBP;10.7274
2011-12-22;Valutor mot svenska kronor;1 GBP;10.7727
2011-12-23;Valutor mot svenska kronor;1 GBP;10.7595
2011-12-27;Valutor mot svenska kronor;1 GBP;10.7252
2011-12-28;Valutor mot svenska kronor;1 GBP;10.7212
2011-12-29;Valutor mot svenska kronor;1 GBP;10.7049
2011-12-30;Valutor mot svenska kronor;1 GBP;10.6768
2012-01-02;Valutor mot svenska kronor;1 GBP;10.6643
2012-01-03;Valutor mot svenska kronor;1 GBP;10.6962
2012-01-04;Valutor mot svenska kronor;1 GBP;10.6673
2012-01-05;Valutor mot svenska kronor;1 GBP;10.6906
2012-01-09;Valutor mot svenska kronor;1 GBP;10.6874
2012-01-10;Valutor mot svenska kronor;1 GBP;10.6818
2012-01-11;Valutor mot svenska kronor;1 GBP;10.6709
2012-01-12;Valutor mot svenska kronor;1 GBP;10.617
2012-01-13;Valutor mot svenska kronor;1 GBP;10.6264
2012-01-16;Valutor mot svenska kronor;1 GBP;10.7084
2012-01-17;Valutor mot svenska kronor;1 GBP;10.6542
2012-01-18;Valutor mot svenska kronor;1 GBP;10.6092
2012-01-19;Valutor mot svenska kronor;1 GBP;10.557
2012-01-20;Valutor mot svenska kronor;1 GBP;10.4906
2012-01-23;Valutor mot svenska kronor;1 GBP;10.5406
2012-01-24;Valutor mot svenska kronor;1 GBP;10.5026
2012-01-25;Valutor mot svenska kronor;1 GBP;10.5526
2012-01-26;Valutor mot svenska kronor;1 GBP;10.5945
2012-01-27;Valutor mot svenska kronor;1 GBP;10.6531
2012-01-30;Valutor mot svenska kronor;1 GBP;10.621
2012-01-31;Valutor mot svenska kronor;1 GBP;10.628
2012-02-01;Valutor mot svenska kronor;1 GBP;10.6922
2012-02-02;Valutor mot svenska kronor;1 GBP;10.657
2012-02-03;Valutor mot svenska kronor;1 GBP;10.6559
2012-02-06;Valutor mot svenska kronor;1 GBP;10.607
2012-02-07;Valutor mot svenska kronor;1 GBP;10.6264
2012-02-08;Valutor mot svenska kronor;1 GBP;10.6021
2012-02-09;Valutor mot svenska kronor;1 GBP;10.5231
2012-02-10;Valutor mot svenska kronor;1 GBP;10.5104
2012-02-13;Valutor mot svenska kronor;1 GBP;10.4923
2012-02-14;Valutor mot svenska kronor;1 GBP;10.5026
2012-02-15;Valutor mot svenska kronor;1 GBP;10.4869
2012-02-16;Valutor mot svenska kronor;1 GBP;10.5918
2012-02-17;Valutor mot svenska kronor;1 GBP;10.6149
2012-02-20;Valutor mot svenska kronor;1 GBP;10.6224
2012-02-21;Valutor mot svenska kronor;1 GBP;10.5427
2012-02-22;Valutor mot svenska kronor;1 GBP;10.48
2012-02-23;Valutor mot svenska kronor;1 GBP;10.4314
2012-02-24;Valutor mot svenska kronor;1 GBP;10.4201
2012-02-27;Valutor mot svenska kronor;1 GBP;10.4345
2012-02-28;Valutor mot svenska kronor;1 GBP;10.4156
2012-02-29;Valutor mot svenska kronor;1 GBP;10.4421
2012-03-01;Valutor mot svenska kronor;1 GBP;10.5252
2012-03-02;Valutor mot svenska kronor;1 GBP;10.5918
2012-03-05;Valutor mot svenska kronor;1 GBP;10.5692
2012-03-06;Valutor mot svenska kronor;1 GBP;10.633
2012-03-07;Valutor mot svenska kronor;1 GBP;10.6872
